iso_code,title,description,pubDate
us,Watch 4 Decades of Inequality Drive American Cities Apart,"In 1980, highly paid workers in Binghamton, N.Y., earned about four and a half times what low-wage workers there did. The gap between them, in a region full of I.B.M. executives and manufacturing jobs, was about the same as the gap between the workers near the top and the bottom in metro New York.",2019-12-02T10:00:07+0000
us,"If Pain Is an Opinion, There Are Ways to Change Your Mind","Some days Im grumpy; other times, my head hurts or my feet or my arms do. Yet when I play the trumpet, my mood improves and the pain disappears. Why?",2019-12-02T10:00:07+0000
us,He Gave Thanks for His 2 Dads. His Teacher Condemned Gay Couples.,A substitute teacher at a Utah public school asked members of a fifth-grade class what they were thankful for before they left for Thanksgiving break. ,2019-12-02T10:00:11+0000
us,Teaching Resilience in the Face of Climate Change,"Damariya Carlisle, age 9, jumped as an instructor hauled a crab pot onto the steel deck of the barge docked on the Elizabeth River, a Chesapeake tributary in Norfolk, Va.",2019-12-02T10:00:12+0000
us,Our Correspondent Discusses The Jungle Prince of Delhi,"Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together. This article contains spoilers. ",2019-12-02T10:00:12+0000
us,Did an Ethics Commission Leak Private Information to Cuomo?,"The text messages arrived on a snowy January afternoon, a few hours after New Yorks state ethics commission privately debated whether to investigate a disgraced former aide to Gov. Andrew M. Cuomo. They were from a high-ranking government lawyer, sent to one of the commission members.",2019-12-02T10:00:12+0000
us,6 Takeaways From Melania Trumps Unauthorized Biography,"Where the first lady, Melania Trump, is concerned, theories abound. ",2019-12-02T10:00:13+0000
us,Saudi Arabia Embraces Western Sports to Rehabilitate Global Image,"RIYADH, Saudi Arabia  On Halloween, as two female WWE wrestlers battled inside a roaring King Fahd International Stadium, Najla Ibrahim stood with a hand on her heart and another in the air, capturing the moment with her smartphone. For years, the nurse from Riyadh followed wrestling from afar and yearned for the day when women would take the ring in her country.",2019-12-02T10:00:14+0000
us,Shopping for Fireplace Tools,"Because the fireplace is usually the focal point of a room  and all the furniture is arranged around it  the accessories that go with it matter. Especially the fireplace tools, which not only need to look good, but are also used to tend the fire and clean up after.",2019-12-02T10:00:15+0000
us,Best TV Shows of 2019,"Its been four years since John Landgraf, the chairman of FX, coined the term peak TV to describe the ballooning amount of scripted series that would soon, surely, burst. That balloon is still swelling: New streaming services from Apple and Disney arrived in November, soon to be joined by HBO Max and Comcasts Peacock.",2019-12-02T10:00:18+0000
us,Map Quests,"As the daughter of a geography professor, I grew up in a house filled with maps, which papered the walls of our living room and filled my fathers cramped study. In a digital age where maps have become all but obsolete, I still love them. I comb flea markets and secondhand bookstores looking for old maps of the places Ive lived. I always have a road atlas in my car, which comes in handy in places with no cell service, like the remote hollows of the Blue Ridge Mountains. And I collect atlases of all kinds and spend far too much money on them.",2019-12-02T10:00:19+0000
us,My 27-Hour Vacation in Singapores Changi Airport,"Beneath a giant glass dome, where a waterfall plunges 130 feet through a forest, and a winding path leads past palms and fig trees, orchids and anthurium, a robot came rolling around a bend.",2019-12-02T10:00:21+0000
us,Inside Studio Peregallis Meticulously Restored Swiss Home,"Armed with historical documents and a deep well of knowledge of local design, Laura Sartori Rimini and Roberto Peregalli rehabilitated a 19th-century house.",2019-12-02T10:00:25+0000
